trackid,albumid,name,danceability,energy,key,valence,mode,tempo,speechiness,loudness,instrumentalness,acousticness,time_signature,liveness,sent,sent_magn
222crew3tEir2UscC1rjCe,1KoerhgSJnUkS0aKS6qELi,"""Have You Ever Loved A Woman""",0.3213149522799576,0.6683417085427135,0.0,0.6527918781725888,1.0,0.7126394441072434,0.06840390879478828,0.7542592989730026,0.05679513184584178,0.6301507537688442,0.6000000000000001,0.38319672131147536,0.61111111571,0.00683953429648
1qIagqll7ZcgmiLTrtSvKc,5Y0p2XCgRRIjna91aQE8q7,"""Frankly, Mr. Shankly""",0.7560975609756098,0.7487437185929647,0.3636363636363637,0.9380710659898476,1.0,0.4669666589924443,0.02714440825190011,0.7551886005671122,0.0,0.07135678391959797,0.8,0.13934426229508196,0.38888888429,0.00323186786226
07KYQySlrmE94gaLbhvp4X,3s6wTRMDispMa4gCd26FPc,"""Over, Under, Sideways, Down""",0.5609756097560976,0.8623115577889446,1.0,0.3928934010152284,1.0,0.40402687373113705,0.08469055374592832,0.6586603760097218,0.2281947261663286,0.2934673366834171,0.8,0.3012295081967213,0.444444442145,0.00293122893301
0igDAUHZsRr5Hjjw6FhGkU,6ry5iI1ik4H2DvoiWhluYh,"""You Told Me Baby""",0.5047720042417816,0.9427135678391959,0.3636363636363637,0.8771573604060914,0.0,0.512312940831746,0.11509229098805646,0.8025353253746992,0.0010141987829614604,0.16783919597989946,0.8,0.16188524590163936,0.5,0.00420894393434
1nuAdOCRzZuMtGepEbQrPU,3ZAHIjLdPoEmHGMCHtoMpq,"""Party Girl""",0.567338282078473,0.4874371859296482,0.18181818181818185,0.5492385786802031,1.0,0.616233073107432,0.030401737242128125,0.7121547882860342,0.0010141987829614604,0.011055276381909548,0.8,0.015368852459016391,0.38888888429,0.00165351375249
5IaEafAl7QJbxu9DG1usyb,6ry5iI1ik4H2DvoiWhluYh,"""Love Has No Pride""",0.4761399787910922,0.1678391959798995,0.8181818181818182,0.16751269035532995,1.0,0.3206680759329413,0.031487513572204126,0.4841899587771344,0.0030425963488843817,0.3015075376884422,0.6000000000000001,0.07274590163934426,0.5,0.00150319428786
6gElIMJ9zD3A4IFVQgEOBA,4kR4Yr84lErTVOaZ0uiULu,Some Kinda Love,0.6065747613997879,0.3366834170854271,0.18181818181818185,0.5979695431472081,1.0,0.4725381443730509,0.03474484256243214,0.5971596730764648,0.04563894523326572,0.14974874371859295,0.8,0.09631147540983606,0.5,0.00150319428786
3Zwcr6lymZaeTXtEMxlfXA,6qfS5de8GAy1G5tk7tyiof,"""Hungry Freaks, Daddy""",0.3860021208907741,0.5155778894472361,0.8181818181818182,0.6081218274111675,1.0,0.5965298562129804,0.03691639522258415,0.6387637905973741,0.0,0.09547738693467336,0.8,0.12807377049180327,0.5,0.00323186786226
7Al0ADUt8SCPiQIBbTcNdR,5pd9B3KQWKshHw4lnsSLNy,"""Spin The Black Circle""",0.2502651113467657,0.9919597989949748,0.18181818181818185,0.14314720812182738,0.0,0.9121706188911446,0.10314875135722043,0.7983415540782043,0.059837728194726165,0.0010050251256281406,0.8,0.3965163934426229,0.444444442145,0.000826756876243
5qdCsd05UUdtAsAtET9gxV,6mm1Skz3JE6AXneya9Nyiv,"""4th Dimensional Transition""",0.40402969247083775,0.9407035175879396,0.8181818181818182,0.3401015228426396,1.0,0.6696247305301491,0.13572204125950055,0.7991755426883027,0.9310344827586208,0.04221105527638192,0.8,0.15573770491803274,0.5,0.00263059000376
